Product code,Title,Fabric,Option,Variant,SKU,Legacy SKU,Price (INR incl. GST),Compare at,Available on old site,HSN (to confirm),GST % (to confirm),Handle,Images
RUD-SLK-0001,Jamdani Muslin-Tissue Silk Saree,Silk,Color,Blue,RUD-SLK-0001-01,RUD-APP-SAR-0028,9900,10000,yes,5007,5,pure-muslin-silk-jamdani-saree,4
RUD-LIN-0002,Linen Silk with Banarasi Zari Saree,Linen,Color,Pista Green,RUD-LIN-0002-01,RUD-APP-SAR-0037,8800,,yes,5309,5,linen-silk-with-zari-saree,6
RUD-LIN-0002,Linen Silk with Banarasi Zari Saree,Linen,Color,Mouse grey,RUD-LIN-0002-02,RUD-APP-SAR-0037,8800,,yes,5309,5,linen-silk-with-zari-saree,6
RUD-TUS-0003,Jamdani Muslin Tussar Silk Saree,Tussar Silk,Color,Ash,RUD-TUS-0003-01,RUD-APP-SAR-0040,15500,,yes,5007,5,jamdani-muslin-tussar-silk-saree,6
RUD-TUS-0003,Jamdani Muslin Tussar Silk Saree,Tussar Silk,Color,Steel blue,RUD-TUS-0003-02,RUD-APP-SAR-0040,15500,,no,5007,5,jamdani-muslin-tussar-silk-saree,6
RUD-COT-0004,Handloom Chanderi Silk Cotton Saree,Cotton,Color,Yellow,RUD-COT-0004-01,,5900,,yes,5208,5,handloom-chanderi-silk-cotton-saree,6
RUD-COT-0004,Handloom Chanderi Silk Cotton Saree,Cotton,Color,Dairy Milk,RUD-COT-0004-02,,5900,,yes,5208,5,handloom-chanderi-silk-cotton-saree,6
RUD-SLK-0005,Handloom Chanderi Silk Tissue Saree,Silk,,,RUD-SLK-0005-01,RUD-APP-SAR-0051,9400,,yes,5007,5,handloom-chanderi-silk-tissue-saree,4
RUD-SLK-0006,Handloom Chanderi Pure Silk Saree,Silk,Color,Steel blue,RUD-SLK-0006-01,RUD-APP-SAR-0049,13300,,yes,5007,5,handloom-chanderi-pure-silk-saree,5
RUD-SLK-0007,Handloom Chanderi Katan Silk Saree,Silk,Color,Aqua blue,RUD-SLK-0007-01,RUD-APP-SAR-0050,9800,,yes,5007,5,handloom-chanderi-katan-silk-saree,5
RUD-LIN-0008,Tissue Linen Saree,Linen,Color,Pink red,RUD-LIN-0008-01,RUD-APP-SAR-0039,2500,,yes,5309,5,tissue-linen-saree,6
RUD-LIN-0008,Tissue Linen Saree,Linen,Color,Yellow,RUD-LIN-0008-02,RUD-APP-SAR-0040,2500,,yes,5309,5,tissue-linen-saree,6
RUD-LIN-0008,Tissue Linen Saree,Linen,Color,Lavender,RUD-LIN-0008-03,RUD-APP-SAR-0041,2500,,yes,5309,5,tissue-linen-saree,6
RUD-LIN-0008,Tissue Linen Saree,Linen,Color,Green,RUD-LIN-0008-04,RUD-APP-SAR-0042,2500,,yes,5309,5,tissue-linen-saree,6
RUD-LIN-0008,Tissue Linen Saree,Linen,Color,Stone grey,RUD-LIN-0008-05,RUD-APP-SAR-0039,2500,,yes,5309,5,tissue-linen-saree,6
RUD-BAN-0009,Organza with Handwork Saree,Banarasi and Georgette,Color,Magenta pink,RUD-BAN-0009-01,RUD-APP-SAR-0027,17300,18800,yes,5007,5,organza-with-handwork-saree,5
RUD-BAN-0010,Georgette Banarasi Handloom Saree,Banarasi and Georgette,Color,Slate blue,RUD-BAN-0010-01,RUD-APP-SAR-0019,16800,22500,yes,5007,5,georgette-banarasi-handloom-saree,4
RUD-TUS-0011,Tussar Kanji Silk Saree,Tussar Silk,Color,Tangerine orange,RUD-TUS-0011-01,RUD-APP-SAR-0034,10500,,yes,5007,5,tussar-kanji-silk-saree,5
RUD-LIN-0012,Soft Linen Silk Saree,Linen,Color,Amethyst Purple,RUD-LIN-0012-01,,4800,,yes,5309,5,soft-linen-silk-saree,4
RUD-LIN-0012,Soft Linen Silk Saree,Linen,Color,Candy pink,RUD-LIN-0012-02,,4800,,yes,5309,5,soft-linen-silk-saree,4
RUD-LIN-0012,Soft Linen Silk Saree,Linen,Color,Pastel pink,RUD-LIN-0012-03,,4800,,yes,5309,5,soft-linen-silk-saree,4
RUD-BAN-0013,Georgette with embroidery,Banarasi and Georgette,Color,Chickoo,RUD-BAN-0013-01,,15500,,yes,5007,5,georgette-with-embroidery,5
RUD-LIN-0014,Jamdani Silk-Linen with Needlework Saree,Linen,Color,Electric blue,RUD-LIN-0014-01,RUD-APP-SAR-0039,8800,,yes,5309,5,jamdani-silk-linen-with-needlework-saree,6
RUD-BAN-0015,Georgette handloom banarasi - blue,Banarasi and Georgette,,,RUD-BAN-0015-01,,22500,,yes,5007,5,georgette-handloom-banarasi-blue,6
RUD-TUS-0016,Ghicha Tussar - pink and green,Tussar Silk,,,RUD-TUS-0016-01,,5400,,yes,5007,5,ghicha-tussar-pink-and-green,1
RUD-TUS-0017,Ghicha Tussar - black and red,Tussar Silk,,,RUD-TUS-0017-01,,5400,,yes,5007,5,ghicha-tussar-black-and-red,1
RUD-LIN-0018,Linen - black multicolour stripes with violet and green,Linen,,,RUD-LIN-0018-01,,3200,,yes,5309,5,linen-black-multicolour-stripes-with-violet-and-green,1
RUD-LIN-0019,Linen - green tissue with silver zari,Linen,,,RUD-LIN-0019-01,,3200,,yes,5309,5,linen-green-tissue-with-silver-zari,1
RUD-LIN-0020,Linen - neon pink and green,Linen,,,RUD-LIN-0020-01,,3200,,yes,5309,5,linen-neon-pink-and-green,1
RUD-LIN-0021,Linen - rich maroon with yellow border,Linen,,,RUD-LIN-0021-01,,3200,,yes,5309,5,linen-rich-maroon-with-yellow-border,1
RUD-LIN-0022,Linen - black and white thick stripes,Linen,,,RUD-LIN-0022-01,,3200,,yes,5309,5,linen-black-and-white-thick-stripes,1
RUD-LIN-0023,Linen - black with lime green border,Linen,,,RUD-LIN-0023-01,,3200,,yes,5309,5,linen-black-with-lime-green-border,1
RUD-SLK-0024,Bengal silk with needlework sequence - silk mark certified,Silk,Color,Black,RUD-SLK-0024-01,,6750,,yes,5007,5,silk-linen-jamdani,6
RUD-SLK-0024,Bengal silk with needlework sequence - silk mark certified,Silk,Color,Yellow,RUD-SLK-0024-02,,6750,,yes,5007,5,silk-linen-jamdani,6
RUD-SLK-0024,Bengal silk with needlework sequence - silk mark certified,Silk,Color,Purple,RUD-SLK-0024-03,,6750,,yes,5007,5,silk-linen-jamdani,6
RUD-SLK-0024,Bengal silk with needlework sequence - silk mark certified,Silk,Color,Red,RUD-SLK-0024-04,,6750,,yes,5007,5,silk-linen-jamdani,6
RUD-SLK-0024,Bengal silk with needlework sequence - silk mark certified,Silk,Color,Chocolate,RUD-SLK-0024-05,,6750,,yes,5007,5,silk-linen-jamdani,6
RUD-SLK-0024,Bengal silk with needlework sequence - silk mark certified,Silk,Color,Lime green,RUD-SLK-0024-06,,6750,,yes,5007,5,silk-linen-jamdani,6
RUD-SLK-0024,Bengal silk with needlework sequence - silk mark certified,Silk,Color,Manure green,RUD-SLK-0024-07,,6750,,yes,5007,5,silk-linen-jamdani,6
RUD-SLK-0024,Bengal silk with needlework sequence - silk mark certified,Silk,Color,Rose pink,RUD-SLK-0024-08,,6750,,yes,5007,5,silk-linen-jamdani,6
RUD-SLK-0024,Bengal silk with needlework sequence - silk mark certified,Silk,Color,Slate blue,RUD-SLK-0024-09,,6750,,yes,5007,5,silk-linen-jamdani,6
RUD-SLK-0024,Bengal silk with needlework sequence - silk mark certified,Silk,Color,Lavender,RUD-SLK-0024-10,,6750,,yes,5007,5,silk-linen-jamdani,6
RUD-KOT-0025,Kota Doria with floral embroidery,Kota Doria,Color,Black,RUD-KOT-0025-01,,1600,1800,yes,5208,5,kota-doria-with-floral-embroidery,4
RUD-KOT-0025,Kota Doria with floral embroidery,Kota Doria,Color,White,RUD-KOT-0025-02,,1600,1800,yes,5208,5,kota-doria-with-floral-embroidery,4
RUD-KOT-0025,Kota Doria with floral embroidery,Kota Doria,Color,Blush pink,RUD-KOT-0025-03,,1600,1800,yes,5208,5,kota-doria-with-floral-embroidery,4
RUD-KOT-0025,Kota Doria with floral embroidery,Kota Doria,Color,Salmon pink,RUD-KOT-0025-04,,1600,1800,yes,5208,5,kota-doria-with-floral-embroidery,4
RUD-TUS-0026,Semi Tussar with gold thread buttas,Tussar Silk,Color,Plum,RUD-TUS-0026-01,,1840,,yes,5007,5,semi-tussar,5
RUD-TUS-0026,Semi Tussar with gold thread buttas,Tussar Silk,Color,Dark Beige,RUD-TUS-0026-02,,1840,,yes,5007,5,semi-tussar,5
RUD-TUS-0026,Semi Tussar with gold thread buttas,Tussar Silk,Color,Green,RUD-TUS-0026-03,,1840,,yes,5007,5,semi-tussar,5
RUD-TUS-0026,Semi Tussar with gold thread buttas,Tussar Silk,Color,Blue,RUD-TUS-0026-04,,1840,,yes,5007,5,semi-tussar,5
RUD-TUS-0026,Semi Tussar with gold thread buttas,Tussar Silk,Color,Rose pink,RUD-TUS-0026-05,,1840,,yes,5007,5,semi-tussar,5
RUD-BAN-0027,Ivory - Pure Handloom Katan Banarasi,Banarasi and Georgette,,,RUD-BAN-0027-01,,17250,,yes,5007,5,ivory-pure-handloom-katan-banarasi,2
RUD-BAN-0028,Georgette Banarasi with Silver Zari,Banarasi and Georgette,,,RUD-BAN-0028-01,,10999,,yes,5007,5,georgette-banarasi-with-silver-zari,6
